"Species","logV","logVSE","Eo","EoSE","n","nSE","V","Vind","Eoind","nind"
"Acanthephyra curtirostris",1.25309964911058,0.217126813128616,0.213749770030901,0.153500963372917,-0.0455308719879078,0.094875323359482,3.50117858054471,NA,NA,NA
"Acanthephyra purpurea",1.21785396029386,0.199819799910859,0.253262768425494,0.148656712174205,-0.0409473106593158,0.0915702171505699,3.37992648849981,NA,NA,NA
"Acanthephyra smithi",1.1358852313622,0.197101723983256,0.187966315721105,0.129168688938266,-0.0514692983191608,0.0981140295743237,3.11392887066989,NA,NA,NA
"Acipenser brevirostrum",1.36054562423868,0.233107009402034,0.386873811594194,0.165074761461108,-0.0826381714307723,0.0873035323645836,3.89831973936442,4.51604485593141,0.41849392533019,NA
"Alitta succinea",1.25123640368492,0.250617686793975,0.22339161166502,0.174496706623655,-0.134387485497534,0.0818199297288322,3.49466109928923,NA,NA,NA
"Anguilla japonica",1.43960047322647,0.264586693647596,0.180950285543525,0.107616992697492,-0.15402607837089,0.0777667379587054,4.21900987282707,NA,NA,NA
"Anoplopoma fimbria",1.16435689992616,0.308720009584469,0.471581351090117,0.219780301414717,0.0147295734328133,0.0778784837159546,3.20386181676691,NA,NA,NA
"Bellapiscis lesleyae",1.41578755761193,0.271203299507948,0.534976684845656,0.163863449151856,0.00954437091685124,0.0979032451478536,4.11972971317833,NA,NA,NA
"Bellapiscis medius",1.18593034111012,0.266673650772569,0.421386235905433,0.167961296390757,-0.0401462649396051,0.102385841410121,3.27373109175961,NA,NA,NA
"Bythograea thermydron",1.17231585769258,0.266084345724168,0.270733137742332,0.0981245323271645,-0.0408882672115526,0.0811828897441033,3.22946296172988,1.7295702264862,0.227769799557332,NA
"Callinectes sapidus",1.23469571824562,0.240026317434041,0.400703048277825,0.155734521729857,-0.046598254239338,0.0748230752537627,3.43733244401571,2.40128252183773,0.536513829874017,NA
"Cancer irroratus",1.18501037098105,0.369011018669681,0.897774456552,0.0376262615423935,0.0158544335378055,0.0314326619136448,3.2707207418729,2.65028523724994,0.919374737838508,NA
"Capitella capitata",1.25675712574561,0.251315908957739,0.0628949604363358,0.115135629254556,-0.109908596495389,0.0947557163182376,3.51400750584423,2.40123344634927,-0.0267307743483553,NA
