,Group,logV,logVsd,logVlow,logVhigh,n,nsd,nlow,nhigh,Eo,Eosd,Eolow,Eohigh,Nspecies,level
1,Bivalvia,1.11625759,0.469923624,0.372511531,1.877360345,-0.060891877,0.068481793,-0.171254131,0.050953833,0.232209229,0.201400564,-0.06466068,0.580429958,2,Class
2,Mytilida,1.166545333,0.471807791,0.394223794,1.919961661,-0.056630716,0.07144723,-0.172082902,0.055219823,0.23481299,0.200979449,-0.117824761,0.561161715,1,Order
3,Mytilidae,1.338291132,0.385279866,0.713478622,1.963400403,-0.042924416,0.073673236,-0.157491717,0.089819329,0.191210326,0.167349118,-0.071447399,0.480339588,1,Family
4,Pectinida,1.142714324,0.468363801,0.336849393,1.88198709,-0.060543572,0.069484833,-0.168384609,0.049688184,0.231332483,0.195913416,-0.077188079,0.549592721,1,Order
5,Pectinidae,1.238782105,0.363195133,0.607814987,1.807085975,-0.054740527,0.076525458,-0.171373984,0.07497588,0.246940554,0.156534305,-0.015162228,0.520783014,1,Family
6,Cephalopoda,0.75933457,0.482196643,-0.031479811,1.576152262,-0.07139461,0.058294798,-0.164976842,0.021323614,0.296827037,0.193541227,-0.013993953,0.625749213,6,Class
7,Myopsida,0.798320733,0.471651759,-0.017341812,1.5187943,-0.066533635,0.064119811,-0.173593644,0.031867679,0.27901226,0.190695871,-0.016289473,0.60782734,2,Order
8,Loliginidae,0.864951141,0.341576788,0.30137853,1.427856879,-0.06587035,0.069659734,-0.179062255,0.048501682,0.244848791,0.156521124,-0.013482383,0.50489236,2,Family
9,Nautilida,0.773953297,0.456186724,-0.030340593,1.516275745,-0.076268811,0.06368967,-0.179951124,0.019044793,0.297292816,0.190139704,0.005135517,0.625771663,1,Order
10,Nautilidae,0.749507356,0.41808417,0.000803123,1.435191777,-0.090342542,0.067599214,-0.202101277,0.019603261,0.349533136,0.183486943,0.065323217,0.661374101,1,Family
11,Octopoda,0.771999966,0.452102796,0.00896665,1.488377687,-0.071555829,0.061495786,-0.1696055,0.021895159,0.281947143,0.185528775,-0.006163022,0.58320531,2,Order
12,Amphitretidae,0.444510736,0.379997816,-0.171487746,1.075582337,-0.087601289,0.07172276,-0.214837801,0.022002191,0.315973557,0.174174321,0.026920971,0.60251542,1,Family
13,Octopodidae,1.000894235,0.346843631,0.428994377,1.60056115,-0.065126874,0.054519755,-0.145913082,0.024690272,0.218818509,0.157996964,-0.05201064,0.466302408,1,Family
14,Oegopsida,0.76954382,0.467488846,-0.036427573,1.497225206,-0.067197363,0.0626827,-0.172981857,0.029574828,0.30007739,0.187602217,0.027118243,0.622085453,1,Order
15,Ommastrephidae,0.530448917,0.450575699,-0.26580246,1.233862045,-0.048699913,0.065285999,-0.157505524,0.055090345,0.386807179,0.183337907,0.105300647,0.708037454,1,Family
16,Clitellata,1.003134411,0.500605026,0.167513157,1.809084016,-0.069484347,0.06573816,-0.180414523,0.031850881,0.221509058,0.207427159,-0.125235442,0.55434625,1,Class
17,Tubificida,1.037517558,0.501013295,0.193887187,1.830718705,-0.069219897,0.066324253,-0.177777355,0.038797657,0.202030112,0.205500805,-0.135793808,0.515339571,1,Order
18,Naididae,1.152512759,0.417816914,0.453280183,1.807709948,-0.064414734,0.062663916,-0.163776262,0.037143709,0.138127451,0.167455166,-0.160477156,0.407252732,1,Family
19,Copepoda,0.831957176,0.512390447,-0.004872146,1.631183568,-0.097411789,0.062755225,-0.201236328,-0.008679998,0.277587931,0.203164184,-0.046901462,0.610887977,4,Class
