,species,Temp,W,Pcrit
1,acanthephyra acutifrons,5,8.64,3.933333333
2,acanthephyra acutifrons,10,8.64,3.853333333
3,acanthephyra curtirostris,5,2.29,3.746666667
4,acanthephyra curtirostris,10,2.29,3.853333333
5,acanthephyra purpurea,7,1.391,3.733333333
6,acanthephyra purpurea,14,1.391,4.266666667
7,acanthephyra smithi,5,3.84,3.6
8,acanthephyra smithi,10,3.84,3.64
9,acanthephyra smithi,20,3.84,3.4
10,acipenser brevirostrum,25,2.6,8.646315116
11,acipenser brevirostrum,22,2.4,6.687335168
12,acipenser brevirostrum,30,2.6,10.77943916
13,acipenser brevirostrum,26,2.3,7.165179821
14,acipenser brevirostrum,26,2.3,7.165179821
15,acipenser brevirostrum,26,2.3,7.165179821
16,alitta succinea,25,0.215,1.68
17,alitta succinea,30,0.215,2.52
18,anguilla japonica,10,325,11.73333333
19,anguilla japonica,32,325,17.06666667
20,bellapiscis lesleyae,15,0.54,5.613597931
21,bellapiscis lesleyae,25,0.59,11.44676051
22,bellapiscis medius,15,2.37,2.319007692
23,bellapiscis medius,25,2.84,5.530439335
24,bythograea thermydron,2,65,1.2
25,bythograea thermydron,12,65,1.866666667
26,bythograea thermydron,25,65,2.533333333
27,callinectes sapidus,17,200,3.599189
28,callinectes sapidus,23,200,4.23434
29,callinectes sapidus,28,200,8.045246
30,cancer irroratus,10,1.90E-05,1.946397304
31,cancer irroratus,15,1.90E-05,3.571804951
32,cancer irroratus,20,1.90E-05,4.691290889
33,cancer irroratus,25,1.90E-05,8.550244948
34,cancer irroratus,30,1.90E-05,30.0433401
35,cancer irroratus,10,1.90E-05,1.946397304
36,cancer irroratus,15,1.90E-05,4.531394341
37,cancer irroratus,20,1.90E-05,5.893434179
38,cancer irroratus,25,1.90E-05,9.542970016
39,cancer irroratus,30,1.90E-05,30.0433401
40,cancer irroratus,10,5.74E-05,1.585953358
41,cancer irroratus,15,5.74E-05,1.785902476
42,cancer irroratus,20,5.74E-05,6.743730653
43,cancer irroratus,25,5.74E-05,9.639040184
44,cancer irroratus,30,5.74E-05,25.1404339
45,cancer irroratus,10,5.74E-05,2.066545285
46,cancer irroratus,15,5.74E-05,4.104910168
47,cancer irroratus,20,5.74E-05,6.743730653
48,cancer irroratus,25,5.74E-05,9.607016795
49,cancer irroratus,30,5.74E-05,25.1404339
50,cancer irroratus,10,0.000109,1.682071744
51,cancer irroratus,15,0.000109,0.906278868
52,cancer irroratus,20,0.000109,4.134200096
53,cancer irroratus,25,0.000109,7.685613436
54,cancer irroratus,30,0.000109,20.86343062
55,cancer irroratus,10,0.000109,3.195936313
56,cancer irroratus,15,0.000109,1.705936693
57,cancer irroratus,20,0.000109,7.271500878
58,cancer irroratus,25,0.000109,13.96219774
59,cancer irroratus,30,0.000109,20.86343062
60,cancer irroratus,10,0.000173,1.345657395
61,cancer irroratus,15,0.000173,1.679281432
62,cancer irroratus,20,0.000173,3.635750439
63,cancer irroratus,25,0.000173,8.005847329
64,cancer irroratus,30,0.000173,22.35864315
65,cancer irroratus,10,0.000173,1.946397304
66,cancer irroratus,15,0.000173,2.319007692
67,cancer irroratus,20,0.000173,4.486046912
68,cancer irroratus,25,0.000173,10.98402254
69,cancer irroratus,30,0.000173,22.35864315
70,cancer irroratus,10,0.000246,3.868765011
71,cancer irroratus,15,0.000246,1.705936693
72,cancer irroratus,20,0.000246,4.603329185
73,cancer irroratus,25,0.000246,7.877753772
74,cancer irroratus,30,0.000246,22.35864315
75,cancer irroratus,10,0.000246,4.469504919
76,cancer irroratus,15,0.000246,2.5855603
77,cancer irroratus,20,0.000246,9.587825754
78,cancer irroratus,25,0.000246,17.3887004
79,cancer irroratus,30,0.000246,22.01091931
80,carassius carassius,10,7.6,2.59177968
81,carassius carassius,20,7.13,2.39446312
82,carassius carassius,30,7.23,2.399796
83,carcinus maenas,7,20,2.850666667
84,carcinus maenas,15,20,3.756
85,carcinus maenas,22,20,8.030666667
86,centropristis striata,12,362.025,4.1265
87,centropristis striata,17,396.625,4.47825
88,centropristis striata,22,516.475,4.578
89,centropristis striata,27,431.175,6.636
90,centropristis striata,30,434.4,7.95375
91,chromis atripectoralis,29,4.39,4.92
92,chromis atripectoralis,29,3.52,2.346666667
93,chromis atripectoralis,29,3.39,2.706666667
94,chromis atripectoralis,29,4.96,3.546666667
95,chromis atripectoralis,29,4.08,2.986666667
96,chromis atripectoralis,29,3.44,2.266666667
97,chromis atripectoralis,29,2.5,4.28
98,chromis atripectoralis,29,3.61,3.493333333
99,chromis atripectoralis,31,4.13,4.853333333
100,chromis atripectoralis,31,3.01,5.24
101,chromis atripectoralis,31,3.75,3.653333333
102,chromis atripectoralis,31,5.51,4.76
103,chromis atripectoralis,31,3.35,4.466666667
104,chromis atripectoralis,31,3.22,4.493333333
105,chromis atripectoralis,31,4.69,3.866666667
106,chromis atripectoralis,31,3.93,3.506666667
107,chromis atripectoralis,33,3.55,5.253333333
108,chromis atripectoralis,33,3.88,5.853333333
109,chromis atripectoralis,33,4.6,5.28
110,chromis atripectoralis,33,3.05,3.84
111,chromis atripectoralis,33,4.07,5.8
112,chromis atripectoralis,33,2.67,3.186666667
113,chromis atripectoralis,33,3.95,3.733333333
114,chromis atripectoralis,33,4,4.04
115,chromis atripectoralis,35,3.26,5.786666667
116,chromis atripectoralis,35,3.29,5.253333333
117,chromis atripectoralis,35,2.42,5.2
118,chromis atripectoralis,35,2.24,3.506666667
119,chromis atripectoralis,35,2.17,7.08
120,chromis atripectoralis,35,2.34,5.453333333
121,chromis atripectoralis,35,2.5,4.626666667
122,chromis atripectoralis,35,1.6,2.52
123,crassostrea gigas,15,1.55,7.6641554
124,crassostrea gigas,20,1.55,9.0826593
125,crassostrea gigas,25,1.55,10.2047594
126,cyclopterus lumpus,10,23,7.253333333
127,cyclopterus lumpus,16,22.5,8.506666667
128,dentex dentex,15.55,745.1,7.9605592
129,dentex dentex,19.65,601.7,7.7488422
130,dentex dentex,17.05,117.4,6.2244798
131,dentex dentex,13.75,117.1,5.6105005
132,dentex dentex,23.95,255.1,8.5957102
133,dentex dentex,27.95,251.2,8.5110234
134,dentex dentex,26.65,656.4,8.1934479
135,dentex dentex,20.75,350.8,6.4785402
136,diplodus puntazzo,28.55,58.97,6.69660871
137,diplodus puntazzo,28.55,91.89,8.75238078
138,diplodus puntazzo,22.05,125.19,8.30565791
139,diplodus puntazzo,19.35,166.67,7.71285031
140,diplodus puntazzo,15.35,177.19,6.43407963
141,diplodus puntazzo,22.25,281.55,6.69660871
142,diplodus puntazzo,24.75,255.66,8.89423117
143,diplodus puntazzo,27.25,14.95,6.3938534
144,diplodus puntazzo,14.95,509.11,5.12566857
145,doryteuthis pealeii,10,300,3.767
146,doryteuthis pealeii,15,300,4.714
147,dosidicus gigas,10,4500,1.6
148,dosidicus gigas,20,4500,3.8
149,funchalia villosa,7,2.08,3
150,funchalia villosa,20,2.08,4.333333333
151,gadus morhua,5,140,1.11561737
152,gadus morhua,15,166.7,6.4150251
153,gadus morhua,9,140,2.421532991
154,gadus morhua,10,157.7,4.9118344
155,gadus morhua,10,140,3.099817928
156,gadus morhua,5,124.1,3.4933305
157,gadus morhua,11,140,3.412610307
158,gadus morhua,15,140,3.625115473
159,gadus morhua,17,140,6.374900666
160,gadus morhua,5,140,1.11561737
161,gadus morhua,15,166.7,6.4150251
162,gadus morhua,9,140,2.421532991
163,gadus morhua,10,157.7,4.9118344
164,gadus morhua,10,140,3.099817928
165,gadus morhua,5,124.1,3.4933305
166,gadus morhua,11,140,3.412610307
167,gadus morhua,15,140,3.625115473
168,gadus morhua,17,140,6.374900666
169,gadus ogac,8,74.3,11.6020916
170,gadus ogac,1,50.9,8.5533668
171,gammarus pseudolimnaeus,10,0.06,3.388173084
172,gammarus pseudolimnaeus,15,0.06,4.264841733
173,gammarus pseudolimnaeus,20,0.06,7.828591671
174,gammarus pseudolimnaeus,10,0.04,2.186693267
175,gammarus pseudolimnaeus,15,0.04,2.958733952
176,gammarus pseudolimnaeus,20,0.04,6.274601564
177,gammarus pseudolimnaeus,10,0.01,0.841035872
178,gammarus pseudolimnaeus,15,0.01,2.292352431
179,gammarus pseudolimnaeus,20,0.01,3.840994415
180,gammarus pseudolimnaeus,10,0.06,3.988912992
181,gammarus pseudolimnaeus,15,0.06,5.331052166
182,gammarus pseudolimnaeus,20,0.06,9.411902346
183,gammarus pseudolimnaeus,10,0.04,2.931610753
184,gammarus pseudolimnaeus,15,0.04,3.411873386
185,gammarus pseudolimnaeus,20,0.04,8.415003032
186,gammarus pseudolimnaeus,10,0.01,1.874308514
187,gammarus pseudolimnaeus,15,0.01,2.798802387
188,gammarus pseudolimnaeus,20,0.01,5.307022818
189,gammarus pseudolimnaeus,10,0.06,4.253238552
190,gammarus pseudolimnaeus,15,0.06,5.037844297
191,gammarus pseudolimnaeus,20,0.06,9.558505186
192,gammarus pseudolimnaeus,10,0.04,3.484291469
193,gammarus pseudolimnaeus,15,0.04,3.385218125
194,gammarus pseudolimnaeus,20,0.04,9.35326121
195,gammarus pseudolimnaeus,10,0.01,2.258782056
196,gammarus pseudolimnaeus,15,0.01,3.278597082
197,gammarus pseudolimnaeus,20,0.01,5.600228499
198,gaussia princeps,10,0.03475,1.333333333
199,gaussia princeps,7,0.03475,1.4
200,gaussia princeps,5.5,0.03475,1.466666667
201,gennadas sp.,5,0.29,0.61
202,gennadas sp.,10,0.37,0.29
203,gennadas valens,14,0.534,3.666666667
204,gennadas valens,20,0.534,4.333333333
205,gibberulus gibbosus,28,0.98,5.3
206,gibberulus gibbosus,33,0.98,5.3
207,gobiodon erythrospilus,33,1.32,7.988738733
208,gobiodon erythrospilus,32,1.32,6.450191294
209,gobiodon erythrospilus,31,1.32,6.20754244
210,gobiodon erythrospilus,29,1.32,5.514253952
211,gobiodon histrio,33,1.43,8.084731221
212,gobiodon histrio,32,1.43,5.95422305
213,gobiodon histrio,31,1.43,5.695610734
214,gobiodon histrio,29,1.43,4.826300732
215,lophelia pertusa,6.35,NA,6
216,lophelia pertusa,11,NA,8
217,lucicutia hulsemannae,5,0.0067,0.67
218,lucicutia hulsemannae,8,0.0067,0.38
219,maja brachydactyla,18.74,530,7.75519371
220,maja brachydactyla,17.79,1390,8.24637715
221,maja brachydactyla,18.57,540,7.71285031
222,maja brachydactyla,19.29,1080,7.37833745
223,maja brachydactyla,18.67,600,5.1023797
224,maja brachydactyla,18.75,450,7.63874936
225,maja brachydactyla,22.14,520,11.27604742
226,maja brachydactyla,21.83,1250,9.06360477
227,maja brachydactyla,23.06,420,9.39176612
228,maja brachydactyla,22.61,470,10.73616907
229,maja brachydactyla,25.95,540,9.65006086
230,maja brachydactyla,26.33,590,10.46517131
231,maja brachydactyla,25.28,1620,10.13912713
232,maja brachydactyla,25.66,560,8.49408604
233,megacalanus sp.,5,0.04,1.01
234,megacalanus sp.,10,0.031,0.91
235,melanostigma pammelas,3,5,0.933333333
236,melanostigma pammelas,5,5,1.066666667
237,melanostigma pammelas,7,5,1.333333333
238,melanostigma pammelas,10,5,2.8
239,morone saxatilis,28,1300,7.410095
240,morone saxatilis,20,1300,5.292925
241,mytilus sp.,10,1,5.292925
242,mytilus sp.,18,1,7.0290044
243,mytilus sp.,25,1,7.2830648
244,nautilus pompilius,11,210,2.893333333
245,nautilus pompilius,16,210,4.106666667
246,nautilus pompilius,21,210,6.533333333
247,nematobrachion flexipes,10,0.089,0.68
248,nematobrachion flexipes,20,0.045,1.58
249,notostomus elegans,5,22.54,2.2
250,notostomus elegans,10,22.54,3.04
251,notostomus gibbosus,5,10.4,1.893333333
252,notostomus gibbosus,10,10.4,3.733333333
253,octopus vulgaris,14,2050,6.21389395
254,octopus vulgaris,14,2000,3.92946752
255,octopus vulgaris,14.7,510,7.24919008
256,octopus vulgaris,14,380,5.0176929
257,octopus vulgaris,14,500,3.44886993
258,octopus vulgaris,14,490,7.0501761
259,octopus vulgaris,17.3,1030,9.9718707
260,octopus vulgaris,21.3,1200,6.25835452
261,octopus vulgaris,18.7,1100,8.85612211
262,octopus vulgaris,18,690,3.31548822
263,octopus vulgaris,14,1100,4.91395157
264,octopus vulgaris,18.7,790,7.17508913
265,octopus vulgaris,18,320,7.06923063
266,octopus vulgaris,20,520,6.73895211
267,octopus vulgaris,16.7,220,5.20400386
268,octopus vulgaris,16.7,180,8.15957318
269,octopus vulgaris,24,530,7.47149293
270,octopus vulgaris,18,1100,7.84411485
271,octopus vulgaris,21.3,780,7.44185255
272,octopus vulgaris,24.7,2200,6.76647532
273,octopus vulgaris,20.6,1020,8.90481702
274,octopus vulgaris,16,1010,8.14051865
275,ophiocoma wendtii,29,10,6.364556968
276,ophiocoma wendtii,32,10,4.737392826
277,ophioderma cinereum,29,5,6.261902823
278,ophioderma cinereum,32,5,7.859765371
279,oplophorus gracilirostris,5,2.58,4.666666667
280,oplophorus gracilirostris,10,2.58,5.4
281,oplophorus gracilirostris,20,2.58,6.36
282,oplophorus spinosus,5,2.92,4.386666667
283,oplophorus spinosus,10,2.92,2.426666667
284,oplophorus spinosus,20,2.92,7.066666667
285,oreochromis niloticus,20,NA,2.5464502
286,oreochromis niloticus,25,NA,2.399796
287,oreochromis niloticus,30,NA,3.9596634
288,oreochromis niloticus,35,NA,4.0263244
289,palaemonetes pugio,20,NA,1.77
290,palaemonetes pugio,25,NA,4.34
291,palaemonetes vulgaris,18,NA,2.45
292,palaemonetes vulgaris,24,NA,2.67
293,palaemonetes vulgaris,25,NA,5.69
294,pandalus borealis,5,3.3,1.905453
295,pandalus borealis,8,3.3,2.9216946
296,pandalus borealis,5,11.31,3.2816135
297,pandalus borealis,8,11.31,4.7001174
298,pandalus platyceros,10,40,6.007399085
299,pandalus platyceros,5,40,5.363545048
300,panulirus cygnus,15,1000,4.946666667
301,panulirus cygnus,23,1000,6.666666667
302,panulirus cygnus,31,1000,10.66666667
303,panulirus interruptus,20,NA,5.189740546
304,panulirus interruptus,27,NA,8.809000024
305,parabramis pekinensis,10,6.14,3.48370386
306,parabramis pekinensis,20,5.84,3.19439512
307,parabramis pekinensis,30,5.79,2.73576744
