scientific.name,Temp,W,Pcrit,AphiaID,lowest.taxon,Source,Method,RespSetup,O2Control,EstMethod_Metric,Notes,SharedAuthor,Location
mytilus spc,10,1,5.292925,138228,genera,Artigaud et al. (2014),OxygenConsumption,flowthrough,drawdown,oxyconform,,Artigaud,Lab
mytilus spc,18,1,7.0290044,138228,genera,Artigaud et al. (2014),OxygenConsumption,flowthrough,drawdown,oxyconform,,Artigaud,Lab
mytilus spc,25,1,7.2830648,138228,genera,Artigaud et al. (2014),OxygenConsumption,flowthrough,drawdown,oxyconform,,Artigaud,Lab
pecten maximus,10,1,3.8744211,140712,species,Artigaud et al. (2014),OxygenConsumption,flowthrough,drawdown,oxyconform,,Artigaud,Lab
pecten maximus,18,1,5.0388646,140712,species,Artigaud et al. (2014),OxygenConsumption,flowthrough,drawdown,oxyconform,,Artigaud,Lab
pecten maximus,25,1,7.6429837,140712,species,Artigaud et al. (2014),OxygenConsumption,flowthrough,drawdown,oxyconform,,Artigaud,Lab
salmo salar,14,150.7,8.26,127186,species,Barnes et al. (2011),OxygenConsumption,closed,drawdown,oxyconform,,Barnes,Lab
salmo salar,18,150.7,7.66,127186,species,Barnes et al. (2011),OxygenConsumption,closed,drawdown,oxyconform,,Barnes,Lab
salmo salar,22,150.7,9.27,127186,species,Barnes et al. (2011),OxygenConsumption,closed,drawdown,oxyconform,,Barnes,Lab
callinectes sapidus,17,200,3.599189,107379,species,Batterton and Cameron (1978),unknown,,,unknown,"""Amberson et al. ('24) who found that Vo2 of the blue crab depends entirely on external 0, tensions and therefore has no critical pressure""",Batterton,
callinectes sapidus,23,200,4.23434,107379,species,Batterton and Cameron (1978),unknown,,,unknown,"""Amberson et al. ('24) who found that Vo2 of the blue crab depends entirely on external 0, tensions and therefore has no critical pressure""",Batterton,
callinectes sapidus,28,200,8.045246,107379,species,Batterton and Cameron (1978),unknown,,,unknown,"""Amberson et al. ('24) who found that Vo2 of the blue crab depends entirely on external 0, tensions and therefore has no critical pressure""",Batterton,
melanostigma pammelas,3,5,0.933333333,274134,species,Belman and Gordon (1979),OxygenConsumption,closed,drawdown,oxyconform,,Belman,Shipboard
melanostigma pammelas,5,5,1.066666667,274134,species,Belman and Gordon (1979),OxygenConsumption,closed,drawdown,oxyconform,,Belman,Shipboard
melanostigma pammelas,7,5,1.333333333,274134,species,Belman and Gordon (1979),OxygenConsumption,closed,drawdown,oxyconform,,Belman,Shipboard
melanostigma pammelas,10,5,2.8,274134,species,Belman and Gordon (1979),OxygenConsumption,closed,drawdown,oxyconform,,Belman,Shipboard
Doryteuthis (Amerigo) pealeii,10,300,3.767,410354,species,Birk (2018,OxygenConsumption,closed,drawdown,oxyconform,,Seibel,Shipboard
Doryteuthis (Amerigo) pealeii,15,300,4.714,410354,species,Birk (2018,OxygenConsumption,closed,drawdown,oxyconform,,Seibel,Shipboard
Japetella diaphana,10,2.8,1.8,138849,species,Birk et al. (2019),OxygenConsumption,closed,drawdown,oxyconform,,Seibel,Shipboard
Japetella diaphana,15,2.8,0.88,138849,species,Birk et al. (2019),OxygenConsumption,closed,drawdown,oxyconform,,Seibel,Shipboard
nautilus pompilius,11,210,2.893333333,216384,species,Staples et al. (2000),OxygenConsumption,closed,drawdown,oxyconform,,Staples,Lab
nautilus pompilius,16,210,4.106666667,216384,species,Staples et al. (2000),OxygenConsumption,closed,drawdown,oxyconform,,Staples,Lab
nautilus pompilius,21,210,6.533333333,216384,species,Staples et al. (2000),OxygenConsumption,closed,drawdown,oxyconform,,Staples,Lab
carcinus maenas,7,20,2.850666667,107381,species,Breteler (1975) ,OxygenConsumption,flowthrough,drawdown,unknown,,Breteler,Lab
carcinus maenas,15,20,3.756,107381,species,Breteler (1975) ,OxygenConsumption,flowthrough,drawdown,unknown,,Breteler,Lab
carcinus maenas,22,20,8.030666667,107381,species,Breteler (1975) ,OxygenConsumption,flowthrough,drawdown,unknown,,Breteler,Lab
scyliorhinus canicula,7,857,7.733333333,105814,species,Butler and Taylor (1975),OxygenConsumption,flowthrough,drawdown,oxyconform,,Butler,Lab
scyliorhinus canicula,12,788,8.666666667,105814,species,Butler and Taylor (1975),OxygenConsumption,flowthrough,drawdown,oxyconform,,Butler,Lab
scyliorhinus canicula,17,712,10.93333333,105814,species,Butler and Taylor (1975),OxygenConsumption,flowthrough,drawdown,oxyconform,,Butler,Lab
Capitella capitata,10,7.6,2.59177968,129876,species,Cammen  (1985),OxygenConsumption,closed,drawdown,unknown,,Cammen,Lab
Capitella capitata,20,7.13,2.39446312,129876,species,Cammen  (1985),OxygenConsumption,closed,drawdown,unknown,,Cammen,Lab
Capitella capitata,30,7.23,2.399796,129876,species,Cammen  (1985),OxygenConsumption,closed,drawdown,unknown,,Cammen,Lab
acipenser brevirostrum,25,2.6,8.646315116,157869,species,Campbell and Boodman (2004),Lethal,24hr,,Death,,Campbell,Lab
acipenser brevirostrum,22,2.4,6.687335168,157869,species,Campbell and Boodman (2004),Lethal,24hr,,Death,,Campbell,Lab
acipenser brevirostrum,30,2.6,10.77943916,157869,species,Campbell and Boodman (2004),Lethal,24hr,,Death,,Campbell,Lab
acipenser brevirostrum,26,2.3,7.165179821,157869,species,Campbell and Boodman (2004),Lethal,24hr,,Death,,Campbell,Lab
acipenser brevirostrum,26,2.3,7.165179821,157869,species,Campbell and Boodman (2004),Lethal,24hr,,Death,,Campbell,Lab
acipenser brevirostrum,26,2.3,7.165179821,157869,species,Campbell and Boodman (2004),Lethal,24hr,,Death,,Campbell,Lab
paralichthys dentatus,22,569,5.67,158826,species,Capossela et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Capossela,Lab
paralichthys dentatus,30,569,8.19,158826,species,Capossela et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Capossela,Lab
diplodus puntazzo,28.55,58.97,6.69660871,127052,species,Cerezo Valverde and Garcia (2004),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
diplodus puntazzo,28.55,91.89,8.75238078,127052,species,Cerezo Valverde and Garcia (2004),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
diplodus puntazzo,22.05,125.19,8.30565791,127052,species,Cerezo Valverde and Garcia (2004),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
diplodus puntazzo,19.35,166.67,7.71285031,127052,species,Cerezo Valverde and Garcia (2004),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
diplodus puntazzo,15.35,177.19,6.43407963,127052,species,Cerezo Valverde and Garcia (2004),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
diplodus puntazzo,22.25,281.55,6.69660871,127052,species,Cerezo Valverde and Garcia (2004),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
diplodus puntazzo,24.75,255.66,8.89423117,127052,species,Cerezo Valverde and Garcia (2004),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
diplodus puntazzo,27.25,14.95,6.3938534,127052,species,Cerezo Valverde and Garcia (2004),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
diplodus puntazzo,14.95,509.11,5.12566857,127052,species,Cerezo Valverde and Garcia (2004),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,18.74,530,7.75519371,107347,species,Cerezo Valverde et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,17.79,1390,8.24637715,107347,species,Cerezo Valverde et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,18.57,540,7.71285031,107347,species,Cerezo Valverde et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,19.29,1080,7.37833745,107347,species,Cerezo Valverde et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,18.67,600,5.1023797,107347,species,Cerezo Valverde et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,18.75,450,7.63874936,107347,species,Cerezo Valverde et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,22.14,520,11.27604742,107347,species,Cerezo Valverde et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,21.83,1250,9.06360477,107347,species,Cerezo Valverde et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,23.06,420,9.39176612,107347,species,Cerezo Valverde et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,22.61,470,10.73616907,107347,species,Cerezo Valverde et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,25.95,540,9.65006086,107347,species,Cerezo Valverde et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,26.33,590,10.46517131,107347,species,Cerezo Valverde et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,25.28,1620,10.13912713,107347,species,Cerezo Valverde et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,25.66,560,8.49408604,107347,species,Cerezo Valverde et al. (2012),OxygenConsumption,closed,drawdown,oxyconform,,Garcia,Lab
maja brachydactyla,18.74,530,1.88,107347,species,Cerezo Valverde et al. (2012),Lethal,unknown,,Death,,Garcia,Lab
maja brachydactyla,17.79,1390,1.447,107347,species,Cerezo Valverde et al. (2012),Lethal,unknown,,Death,,Garcia,Lab
maja brachydactyla,18.57,540,1.68,107347,species,Cerezo Valverde et al. (2012),Lethal,unknown,,Death,,Garcia,Lab
maja brachydactyla,19.29,1080,2.43,107347,species,Cerezo Valverde et al. (2012),Lethal,unknown,,Death,,Garcia,Lab
maja brachydactyla,18.67,600,1.92,107347,species,Cerezo Valverde et al. (2012),Lethal,unknown,,Death,,Garcia,Lab
maja brachydactyla,18.75,450,2.69,107347,species,Cerezo Valverde et al. (2012),Lethal,unknown,,Death,,Garcia,Lab
maja brachydactyla,22.14,520,4.05,107347,species,Cerezo Valverde et al. (2012),Lethal,unknown,,Death,,Garcia,Lab
maja brachydactyla,21.83,1250,2.695,107347,species,Cerezo Valverde et al. (2012),Lethal,unknown,,Death,,Garcia,Lab
maja brachydactyla,23.06,420,4.1,107347,species,Cerezo Valverde et al. (2012),Lethal,unknown,,Death,,Garcia,Lab
maja brachydactyla,22.61,470,3.62,107347,species,Cerezo Valverde et al. (2012),Lethal,unknown,,Death,,Garcia,Lab
maja brachydactyla,25.95,540,2.691144,107347,species,Cerezo Valverde et al. (2012),Lethal,unknown,,Death,,Garcia,Lab
maja brachydactyla,26.33,590,3.395766,107347,species,Cerezo Valverde et al. (2012),Lethal,unknown,,Death,,Garcia,Lab
maja brachydactyla,25.28,1620,1.576909,107347,species,Cerezo Valverde et al. (2012),Lethal,unknown,,Death,,Garcia,Lab
maja brachydactyla,25.28,560,3.168674,107347,species,Cerezo Valverde et al. (2012),Lethal,unknown,,Death,,Garcia,Lab
salpa fusiformis,10,0.1865,1.9,137272,species,Trueblood (2019),OxygenConsumption,closed,drawdown,oxyconform,,Trueblood,Shipboard
salpa fusiformis,17,0.1865,3.4,137272,species,Trueblood (2019),OxygenConsumption,closed,drawdown,oxyconform,,Trueblood,Shipboard
anguilla japonica,10,325,11.73333333,271705,species,Chan and Woo (1978),OxygenConsumption,closed,drawdown,oxyconform,,Chan,Lab
anguilla japonica,32,325,17.06666667,271705,species,Chan and Woo (1978),OxygenConsumption,closed,drawdown,oxyconform,,Chan,Lab
acanthephyra curtirostris,5,2.29,3.746666667,107579,species,Childress (1975),OxygenConsumption,closed,drawdown,oxyconform,Day since capture not reported,Childress,Lab
acanthephyra curtirostris,10,2.29,3.853333333,107579,species,Childress (1975),OxygenConsumption,closed,drawdown,oxyconform,Day since capture not reported,Childress,Lab
gaussia princeps,10,0.03475,1.333333333,104625,species,Childress (1975),OxygenConsumption,closed,drawdown,oxyconform,Day since capture not reported,Childress,Lab
gaussia princeps,7,0.03475,1.4,104625,species,Childress (1975),OxygenConsumption,closed,drawdown,oxyconform,Day since capture not reported,Childress,Lab
gaussia princeps,5.5,0.03475,1.466666667,104625,species,Childress (1975),OxygenConsumption,closed,drawdown,oxyconform,Day since capture not reported,Childress,Lab
pandalus platyceros,10,40,6.007399085,423632,species,Childress et al (1990),OxygenConsumption,closed,drawdown,oxyconform,Day since capture not reported,Childress,Lab
pandalus platyceros,5,40,5.363545048,423632,species,Childress et al (1990),OxygenConsumption,closed,drawdown,oxyconform,Day since capture not reported,Childress,Lab
tautogolabrus adspersus,8,135.6,4.5307438,159785,species,Corkum and Gamperl (2009),OxygenConsumption,flowthrough,controlled,oxyconform,"Collected by handnets, acclimated six weeks",Corkum,Lab
tautogolabrus adspersus,1,98.8,3.5780173,159785,species,Corkum and Gamperl (2009),OxygenConsumption,flowthrough,controlled,oxyconform,"Collected by handnets, acclimated six weeks",Corkum,Lab
gadus macrocephalus,8,74.3,5.39,254538,species,Corkum and Gamperl (2009),OxygenConsumption,flowthrough,controlled,oxyconform,"Collected by handnets, acclimated six weeks",Corkum,Lab
gadus macrocephalus,1,50.9,5.12,254538,species,Corkum and Gamperl (2009),OxygenConsumption,flowthrough,controlled,oxyconform,"Collected by handnets, acclimated six weeks",Corkum,Lab
acanthephyra smithi,5,3.84,3.6,210432,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
acanthephyra smithi,20,3.84,3.4,210432,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
notostomus elegans,5,22.54,2.2,107600,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
notostomus elegans,10,22.54,3.04,107600,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
notostomus gibbosus,5,10.4,1.893333333,212899,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
notostomus gibbosus,10,10.4,3.733333333,212899,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
oplophorus spinosus,5,2.92,4.386666667,107602,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
oplophorus spinosus,10,2.92,2.426666667,107602,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
oplophorus spinosus,20,2.92,7.066666667,107602,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
phorcosergia bisulcata,5,2.54,3.506666667,1056507,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
phorcosergia bisulcata,10,2.54,5.226666667,1056507,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
phorcosergia bisulcata,20,2.54,9.973333333,1056507,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
sergia tenuiremis,5,2.61,3.386666667,107138,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
sergia tenuiremis,10,2.61,4.253333333,107138,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
sergia tenuiremis,20,2.61,7.28,107138,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
Systellaspis debilis,5,1.22,3.2263924,107605,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
Systellaspis debilis,10,1.22,5.22,107605,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
Systellaspis debilis,20,1.22,5.7995,107605,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
challengerosergia fulgens,5,1.06,3.493333333,1056490,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
challengerosergia fulgens,10,1.06,5.306666667,1056490,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
challengerosergia fulgens,20,1.06,11.6,1056490,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
panulirus cygnus,15,1000,4.946666667,382893,species,Crear and Forteath (2001),OxygenConsumption,intermittent,drawdown,oxyconform,lobsters obtained from commercial holding facilitites,Crear,Lab
panulirus cygnus,23,1000,6.666666667,382893,species,Crear and Forteath (2001),OxygenConsumption,intermittent,drawdown,oxyconform,lobsters obtained from commercial holding facilitites,Crear,Lab
panulirus cygnus,31,1000,10.66666667,382893,species,Crear and Forteath (2001),OxygenConsumption,intermittent,drawdown,oxyconform,lobsters obtained from commercial holding facilitites,Crear,Lab
systellaspis debilis,7,1.118,3.333333333,107605,species,Davenport & Trueman (1985),OxygenConsumption,closed,drawdown,oxyconform,Time since capture not reported,Davenport,Shipboard
systellaspis debilis,14,1.118,4,107605,species,Davenport & Trueman (1985),OxygenConsumption,closed,drawdown,oxyconform,Time since capture not reported,Davenport,Shipboard
systellaspis debilis,20,1.118,4.933333333,107605,species,Davenport & Trueman (1985),OxygenConsumption,closed,drawdown,oxyconform,Time since capture not reported,Davenport,Shipboard
systellaspis debilis,5,1.22,3.226666667,107605,species,Davenport & Trueman (1985),OxygenConsumption,closed,drawdown,oxyconform,Time since capture not reported,Davenport,Shipboard
systellaspis debilis,10,1.22,4.666666667,107605,species,Davenport & Trueman (1985),OxygenConsumption,closed,drawdown,oxyconform,Time since capture not reported,Davenport,Shipboard
