b,temp,lc50,units,spc,ref,salinity
675,12,5.4,pct,Anoplopoma fimbria,Leeuwis2019,28
5.01,25,1.28,mg/L,Menidia menidia,Hoff1967,25
4.98,18.5,0.93,mg/L,Menidia menidia,Hoff1967,25
4.19,12,0.77,mg/L,Menidia menidia,Hoff1967,25
1.95,25,1.03,mg/L,Pseudopleuronectes americanus,Hoff1967,25
1.8,18.5,0.87,mg/L,Pseudopleuronectes americanus,Hoff1967,25
2.45,12,0.66,mg/L,Pseudopleuronectes americanus,Hoff1967,25
2.1,25,1.36,mg/L,Sphoeroides maculatus,Hoff1967,25
3,18.5,0.92,mg/L,Sphoeroides maculatus,Hoff1967,25
3.3,12,0.7,mg/L,Sphoeroides maculatus,Hoff1967,25
