"","Phylum","Class","Order","Family","Genera"
"1","Arthropoda","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra"
"2","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser"
"3","Annelida","Polychaeta","Phyllodocida","Nereididae","Alitta"
"4","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla"
"5","Chordata","Teleostei","Perciformes","Anoplopomatidae","Anoplopoma"
"6","Chordata","Teleostei","Blenniiformes","Tripterygiidae","Bellapiscis"
"7","Arthropoda","Malacostraca","Decapoda","Bythograeidae","Bythograea"
"8","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes"
"9","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer"
"10","Annelida","Polychaeta","Capitellidae","Capitellidae","Capitella"
"11","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus"
"12","Chordata","Teleostei","Perciformes","Serranidae","Centropristis"
"13","Arthropoda","Malacostraca","Decapoda","Sergestidae","Challengerosergia"
"14","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"15","Chordata","Teleostei","Perciformes","Cyclopteridae","Cyclopterus"
"16","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Dentex"
"17","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Desmophyllum"
"18","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus"
"19","Mollusca","Cephalopoda","Myopsida","Loliginidae","Doryteuthis"
"20","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Dosidicus"
"21","Arthropoda","Malacostraca","Decapoda","Penaeidae","Funchalia"
"22","Chordata","Teleostei","Gadiformes","Gadidae","Gadus"
"23","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Gammarus"
"24","Arthropoda","Copepoda","Calanoida","Metridinidae","Gaussia"
"25","Arthropoda","Malacostraca","Decapoda","Benthesicymidae","Gennadas"
"26","Mollusca","Gastropoda","Littorinimorpha","Strombidae","Gibberulus"
"27","Chordata","Teleostei","Gobiiformes","Gobiidae","Gobiodon"
"28","Arthropoda","Copepoda","Calanoida","Lucicutiidae","Lucicutia"
"29","Mollusca","Bivalvia","Ostreida","Ostreidae","Magallana"
"30","Arthropoda","Malacostraca","Decapoda","Majidae","Maja"
"31","Arthropoda","Copepoda","Calanoida","Megacalanidae","Megacalanus"
"32","Chordata","Teleostei","Perciformes","Zoarcidae","Melanostigma"
"33","Chordata","Teleostei","Atheriniformes","Atherinopsidae","Menidia"
"34","Chordata","Teleostei","Eupercaria incertae sedis","Moronidae","Morone"
"35","Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus"
"36","Mollusca","Cephalopoda","Nautilida","Nautilidae","Nautilus"
"37","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Nematobrachion"
"38","Arthropoda","Malacostraca","Decapoda","Acanthephyridae","Notostomus"
"39","Mollusca","Cephalopoda","Octopoda","Octopodidae","Octopus"
"40","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus"
"41","Echinodermata","Ophiuroidea","Ophiacanthida","Ophiodermatidae","Ophioderma"
"42","Echinodermata","Ophiuroidea","Ophiacanthida","Ophiocomidae","Ophiomastix"
"43","Arthropoda","Malacostraca","Decapoda","Oplophoridae","Oplophorus"
"44","Chordata","Teleostei","Cichliformes","Cichlidae","Oreochromis"
"45","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon"
"46","Arthropoda","Malacostraca","Decapoda","Palinuridae","Panulirus"
"47","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus"
"48","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Paralichthys"
"49","Mollusca","Bivalvia","Pectinida","Pectinidae","Pecten"
"50","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus"
"51","Arthropoda","Malacostraca","Decapoda","Sergestidae","Phorcosergia"
"52","Arthropoda","Malacostraca","Decapoda","Munididae","Pleuroncodes"
"53","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes"
"54","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo"
"55","Chordata","Thaliacea","Salpida","Salpidae","Salpa"
"56","Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Sciaenops"
"57","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"58","Mollusca","Cephalopoda","Sepiida","Sepiidae","Sepia"
"59","Arthropoda","Malacostraca","Decapoda","Sergestidae","Sergia"
"60","Chordata","Teleostei","Tetraodontiformes","Tetraodontidae","Sphoeroides"
"61","Chordata","Teleostei","Myctophiformes","Myctophidae","Stenobrachius"
"62","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Styela"
"63","Arthropoda","Malacostraca","Decapoda","Oplophoridae","Systellaspis"
"64","Chordata","Teleostei","Myctophiformes","Myctophidae","Tarletonbeania"
"65","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Tautogolabrus"
"66","Arthropoda","Copepoda","Harpacticoida","Harpacticidae","Tigriopus"
"67","Chordata","Teleostei","Perciformes","Zoarcidae","Zoarces"
"68","Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Micropogonias"
"69","Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Leiostomus"
